filename,duration_sec,rms_db,silence_ratio,clipping_ratio,zero_crossing_rate,quality_score,quality
Yali Good News 019 Picture 19 Thomas Believes 31721_004.wav,13.1285625,-22.441130794667885,0.2141119221411192,0.0,0.09192043035279805,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_002.wav,15.0,-22.873694738137885,0.255863539445629,0.0,0.1417317014259062,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 022 Picture 21 The Seed Grows 65173_001.wav,15.0,-22.91067709158987,0.2025586353944563,0.0,0.13988268756663114,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 021 Picture 20 A Man Sows His Seed 65173_008.wav,15.0,-21.984706728819624,0.2025586353944563,0.0,0.09722522987739872,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 021 Picture 20 A Man Sows His Seed 65173_007.wav,15.0,-22.406950381490685,0.2601279317697228,0.0,0.16334829757462688,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 021 Picture 20 A Man Sows His Seed 65173_006.wav,15.0,-22.18797604669006,0.2942430703624733,0.0,0.1374766791044776,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 021 Picture 20 A Man Sows His Seed 65173_004.wav,15.0,-23.916478158700375,0.326226012793177,0.0,0.16387197661247335,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 021 Picture 20 A Man Sows His Seed 65173_003.wav,15.0,-23.368444860514458,0.32196162046908317,0.0,0.1760779667510661,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 021 Picture 20 A Man Sows His Seed 65173_002.wav,15.0,-21.867076297365244,0.32409381663113007,0.0,0.15085079624200426,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 021 Picture 20 A Man Sows His Seed 65173_001.wav,15.0,-23.66791926122947,0.3049040511727079,0.0,0.13103532282782515,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 020 Picture 19 Two Men in God's House 65173_008.wav,14.1336875,-21.635473642641145,0.15384615384615385,0.0,0.10382604814762443,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 020 Picture 19 Two Men in God's House 65173_007.wav,15.0,-22.807872653625015,0.2921108742004264,0.0,0.1463937983075693,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 020 Picture 19 Two Men in God's House 65173_006.wav,15.0,-22.593088426578127,0.3070362473347548,0.0,0.1401637876465885,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 020 Picture 19 Two Men in God's House 65173_005.wav,15.0,-22.32635187992392,0.2835820895522388,0.0,0.1270457839152452,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 020 Picture 19 Two Men in God's House 65173_004.wav,15.0,-23.195096167948858,0.27078891257995735,0.0,0.13304258562100213,100,GOOD
Yali LLL 7 JESUS - Lord Saviour 020 Picture 19 Two Men in God's House 65173_003.wav,15.0,-22.593687707654865,0.26439232409381663,0.0,0.1297610024653518,100,GOOD
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_001.wav,15.0,-21.63674557584477,0.23880597014925373,0.0,0.11739780450426439,100,GOOD
