filename,duration_sec,sample_rate,channels
Yali Good News 028 Picture 28 The Christian Family 31721_003.wav,15.0,16000,1
Yali Good News 028 Picture 28 The Christian Family 31721_004.wav,8.932,16000,1
Yali Good News 029 Picture 29 Love Your Enemies 31721_001.wav,15.0,16000,1
Yali Good News 029 Picture 29 Love Your Enemies 31721_002.wav,15.0,16000,1
Yali Good News 029 Picture 29 Love Your Enemies 31721_003.wav,15.0,16000,1
Yali Good News 029 Picture 29 Love Your Enemies 31721_004.wav,6.455,16000,1
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_001.wav,15.0,16000,1
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_002.wav,15.0,16000,1
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_003.wav,15.0,16000,1
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_004.wav,15.0,16000,1
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_005.wav,15.0,16000,1
Yali Good News 030 Picture 30 Jesus is the Powerful One 31721_006.wav,13.187,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_001.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_002.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_003.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_004.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_005.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_006.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_007.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_008.wav,15.0,16000,1
Yali Good News 031 Picture 31 Casting out Evil Spirits 31721_009.wav,5.835,16000,1
Yali Good News 032 Picture 32 Temptation 31721_001.wav,15.0,16000,1
Yali Good News 032 Picture 32 Temptation 31721_002.wav,15.0,16000,1
Yali Good News 032 Picture 32 Temptation 31721_003.wav,15.0,16000,1
Yali Good News 032 Picture 32 Temptation 31721_004.wav,15.0,16000,1
Yali Good News 032 Picture 32 Temptation 31721_005.wav,15.0,16000,1
Yali Good News 032 Picture 32 Temptation 31721_006.wav,15.0,16000,1
Yali Good News 032 Picture 32 Temptation 31721_007.wav,15.0,16000,1
Yali Good News 032 Picture 32 Temptation 31721_008.wav,9.697,16000,1
Yali Good News 033 Picture 33 If We Sin 31721_001.wav,15.0,16000,1
Yali Good News 033 Picture 33 If We Sin 31721_002.wav,15.0,16000,1
Yali Good News 033 Picture 33 If We Sin 31721_003.wav,15.0,16000,1
Yali Good News 033 Picture 33 If We Sin 31721_004.wav,15.0,16000,1
